alim_grp_nom_fr,alim_code,alim_nom_fr,Energie (kcal/100g),Protéines (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Fibres alimentaires (g/100g),AG saturés (g/100g),Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Fer (mg/100g),Magnésium (mg/100g),Potassium (mg/100g),Zinc (mg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine C (mg/100g)
céréales de petit-déjeuner et biscuits,32018,"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",419,"8,42","64,7","13,3","31,2","3,32","5,52",1,"0,77",266,7,20,270,"1,4",traces,10,0
céréales de petit-déjeuner et biscuits,32021,"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",382,"11,4","78,6","1,65","17,2","3,36","0,54",0,"1,25",530,"10,6","47,5",223,"1,5",traces,11,"88,9"
céréales de petit-déjeuner et biscuits,32022,"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",404,"9,99","75,1","6,14","24,6","4,19","3,53",traces,"0,96",361,"7,75",60,235,"1,5",traces,"10,8","69,6"
céréales de petit-déjeuner et biscuits,32023,"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",378,"10,5","77,9","1,74","20,6","4,4","0,57",traces,"1,06",354,"10,6","58,3",237,"1,5",traces,"10,1","77,4"
céréales de petit-déjeuner et biscuits,32025,"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",394,"8,91","75,5","4,93","23,7","4,33","0,83",-,1,405,"10,2",-,-,-,-,-,"75,8"
céréales de petit-déjeuner et biscuits,32028,"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",411,"10,3","74,6","7,01","22,9","4,06","4,07","2,35","1,03",24,6,45,250,"1,3","0,49","0,57","40,8"
céréales de petit-déjeuner et biscuits,32029,"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",378,"10,5","78,7","1,4",19,"4,32","0,32","1,38","1,24",30,"7,3",63,380,"1,5","< 0,25","0,91",74
céréales de petit-déjeuner et biscuits,32030,"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",379,"11,3",79,"1,25","15,4","3,45","0,39",-,"1,18",-,7,-,-,-,-,12,-
céréales de petit-déjeuner et biscuits,32031,"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",405,"7,86",76,"6,77","25,7","4,42","2,77","0,88","0,96",258,"7,31","50,4",263,"1,42","1,33","7,17","42,9"
céréales de petit-déjeuner et biscuits,32032,"Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen)",389,"8,2","79,1","3,32","28,5","4,83","1,51","1,14","0,67","43,9","5,82",75,416,"1,37","0,14","1,42","21,3"
céréales de petit-déjeuner et biscuits,32107,Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),379,"4,4",88,"0,6","29,6","1,9","0,1",-,"1,14",-,-,-,-,-,-,-,-
céréales de petit-déjeuner et biscuits,32108,"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",436,"8,88","59,7","16,7","21,7","8,68","6,61","0,9","0,34",340,"6,07",102,390,"1,8","< 0,25","2,33","66,7"
céréales de petit-déjeuner et biscuits,32109,Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),442,"8,57","63,2","16,7","22,7","7,42","7,74","2,41","0,35",31,"2,6",106,340,"1,5","< 0,25","2,42","< 0,5"
céréales de petit-déjeuner et biscuits,32110,"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",375,9,"69,6",5,24,8,"0,9",0,"0,75",53,"5,3",88,493,"2,96",0,"0,75",0
céréales de petit-déjeuner et biscuits,32111,"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",460,"5,67","68,4","17,3",30,"3,83","8,33","2,93",1,"57,3","5,77","71,8",382,"1,6","< 0,5","2,15",traces
céréales de petit-déjeuner et biscuits,32112,"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux",462,"7,8","63,4","18,3","26,1","5,93",9,"10,7","0,79",321,"7,27","79,4",292,"1,7","< 0,5","1,93",64
céréales de petit-déjeuner et biscuits,32113,"Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés",400,"10,7","61,6",11,"18,6","5,7",1,0,"0,25",143,"3,2","74,5",460,"1,86","< 0,5","4,6","< 0,5"
céréales de petit-déjeuner et biscuits,32115,"Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux",385,"8,94","75,1","4,01","44,3","6,43","2,54",traces,"0,25",267,"7,45",80,400,2,traces,2,0
céréales de petit-déjeuner et biscuits,32116,"Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux",338,14,49,"3,5",18,27,"0,7",-,"0,58",60,"8,8",220,820,6,-,-,-
céréales de petit-déjeuner et biscuits,32121,"Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux",374,"5,77","84,7","0,63",30,"3,02","0,18",0,"1,27",371,"7,18",10,70,"2,43","4,2",12,-
céréales de petit-déjeuner et biscuits,32123,"Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux",386,"10,3","67,9","6,3","20,9","8,07","0,83",0,"1,5",154,"10,4",103,400,"1,9",traces,"3,1",51
céréales de petit-déjeuner et biscuits,32128,Muesli floconneux ou de type traditionnel,382,"10,6","68,5","4,83","11,9","11,4","0,83",-,"0,15",-,-,-,-,-,-,-,-
céréales de petit-déjeuner et biscuits,32129,Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),393,"5,71","86,2","2,35","30,9","2,3","0,6","0,89","0,71",86,7,21,110,"0,48","< 0,25","0,45","< 0,5"
céréales de petit-déjeuner et biscuits,32130,Blé khorasan complet soufflé,378,"6,68","80,5","1,96",-,"4,4","0,52",-,"0,027",-,-,-,-,-,-,-,-
céréales de petit-déjeuner et biscuits,32131,"Riz soufflé chocolaté, enrichi en vitamines et minéraux",390,"6,22","83,2","2,82","29,7","3,19","1,5",0,"0,75",456,"7,35","53,1",323,"0,9","< 0,5","0,12",traces
céréales de petit-déjeuner et biscuits,32133,"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux",388,"6,32","86,2","1,46","26,6","2,4","0,29",0,"0,89",291,"7,18",10,70,"0,4","1,7",10,68
céréales de petit-déjeuner et biscuits,32134,"Céréales complètes soufflées, enrichies en vitamines et minéraux",385,"7,42","76,8","3,85",32,"5,65","0,85",-,"0,95",362,"9,95",-,-,-,"1,7",-,51
céréales de petit-déjeuner et biscuits,32135,"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux",392,9,"77,9","4,1","32,7","3,49","2,06",0,"0,75",252,"9,43",60,230,1,traces,"0,5",51
céréales de petit-déjeuner et biscuits,32138,Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),372,"9,4","65,5","6,29","17,8","8,15","2,13",-,"0,26",-,-,-,-,-,-,-,-
céréales de petit-déjeuner et biscuits,32139,Muesli enrichi en vitamines et minéraux (aliment moyen),431,"6,82","68,8","13,1","27,9","5,28","5,76","1,92","0,91","55,8","5,6","77,4",420,"2,07","0,16","1,66",0
céréales de petit-déjeuner et biscuits,32140,Flocon d'avoine précuit,370,11,58,"7,7","1,84","10,6","1,36",0,"0,011",50,"3,8",104,325,"2,6",-,"1,5",0
céréales de petit-déjeuner et biscuits,32141,Muesli non enrichi en vitamines et minéraux (aliment moyen),403,"9,15","62,7","11,3","19,7","8,41","4,3",,"0,3",,,,,,,,
farines et pâtes à tarte,4090,Fécule de pomme de terre,348,0,"86,3","0,2",-,"0,55","0,039",0,"0,0094","27,5","0,84",6,"33,5","0,16",0,0,0
farines et pâtes à tarte,9311,Flocon d'avoine,367,"13,3","57,9","6,51","0,97","10,2","1,13",0,"0,014","84,3","4,05",148,377,"3,33",0,"0,59",0
farines et pâtes à tarte,9410,Farine de blé tendre ou froment T110,343,"9,61","68,6","1,5","1,6","6,8","0,27",0,"< 0,13",27,"2,2",73,280,"1,9","< 0,25","0,79","< 0,5"
farines et pâtes à tarte,9415,Farine de blé tendre ou froment T150,338,"11,4","62,5","1,52","1,77","12,5","0,22",-,"0,035","31,9","2,7","85,1",407,"2,5",-,"1,04","< 0,5"
farines et pâtes à tarte,9435,Farine de blé tendre ou froment T65,345,"12,6","68,7","0,85","1,68","3,9",-,-,"0,03","25,3","1,31","30,4",176,"0,8",-,"0,5",-
farines et pâtes à tarte,9436,Farine de blé tendre ou froment T55 (pour pains),350,"9,03","73,7",1,"1,5","3,2","0,19",0,"< 0,13",23,1,27,180,"0,81","< 0,25","0,4","< 0,5"
farines et pâtes à tarte,9437,Farine de blé tendre ou froment avec levure incorporée,350,"9,12",74,1,"2,5","2,5","0,5",-,-,-,-,-,-,-,-,-,-
farines et pâtes à tarte,9440,Farine de blé tendre ou froment T45 (pour pâtisserie),356,"9,06","75,9","0,82","4,5","2,5","0,13",0,"0,098","17,4","1,18",25,155,"0,76",0,"0,43",0
farines et pâtes à tarte,9445,Farine de blé tendre ou froment T80,355,"9,95","73,2","1,18","1,77","4,2","0,17",-,-,"25,4","1,5","45,6",206,"1,3",-,"0,79","< 0,5"
farines et pâtes à tarte,9480,Farine d'épeautre (grand épeautre),352,"11,4",64,3,"1,3","9,3","0,5",-,"< 0,13",31,3,92,360,"2,8","< 0,25",-,"< 0,5"
farines et pâtes à tarte,9510,Amidon de maïs ou fécule de maïs,362,"0,43","89,2","0,25",0,"0,8","0,009",0,"0,019",6,"0,38","3,5",4,"0,28",0,0,0
farines et pâtes à tarte,9520,Farine de riz,357,"7,62","73,9","2,5","0,9","3,3","0,46",0,"< 0,13","9,5","0,79",110,270,"1,4","< 0,25","0,66","< 0,5"
farines et pâtes à tarte,9530,Farine de seigle T170,315,"15,9","44,8","2,22","2,31","23,8","0,27",0,"0,005",37,"4,97",160,717,"5,04",0,"2,73",0
farines et pâtes à tarte,9532,Farine de seigle T85,344,"8,12","70,7","1,37","0,93","7,15","0,15",0,"0,0051","15,5",1,29,214,"1,11",0,"0,56",0
farines et pâtes à tarte,9533,Farine de seigle T130,344,"7,24","70,9","1,12","1,59","9,5","0,22",0,"0,0091","23,8","1,8","64,6",356,"1,9",0,"1,01","< 0,5"
farines et pâtes à tarte,9540,Farine de sarrasin,348,"11,5","68,4","2,19","0,03","4,2","0,33",0,"0,042","23,8","2,5",157,389,"2,3",0,"0,32","< 0,5"
farines et pâtes à tarte,9545,Farine de maïs,361,"6,23","78,1","2,1","0,64","2,55","0,27",0,"0,0025",4,"1,01","32,5",105,"0,44",0,"0,63",0
farines et pâtes à tarte,9550,Farine d'orge,339,"9,91","64,5","2,3","0,8","8,85","0,43",0,"0,0081","27,5","3,59","92,5",335,"2,4",0,"0,41",0
farines et pâtes à tarte,9555,Farine de millet,350,"10,2","63,2","4,1","0,5","9,7","0,76",-,"< 0,13",12,"3,8",140,280,"3,1","< 0,25","0,11","< 0,5"
farines et pâtes à tarte,9580,Farine de pois chiche,359,"22,4",47,"6,69","10,9","10,8","0,69",0,"0,16",45,"4,86",166,846,"2,81",0,"0,83",0
farines et pâtes à tarte,20900,Farine de soja,460,"35,8","22,9","21,4","7,5",10,"3,04",0,"0,019",178,"5,19",335,2230,"4,46",0,"11,5",0
farines et pâtes à tarte,96781,Amidon de riz,343,"0,6",85,0,-,traces,-,-,-,-,-,-,-,-,0,0,-
farines et pâtes à tarte,23402,"Pâte à pizza fine, crue",279,"7,71","44,6","7,01","2,21","1,87","1,52",-,"1,89",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23403,Préparation pour pâte à pizza,381,"9,03","69,1","6,5",2,"3,3",-,-,"2,08",15,"1,5",23,160,-,-,-,-
farines et pâtes à tarte,23410,"Pâte brisée, crue",377,"5,35","43,6","19,5","3,77","1,8","8,96",-,"1,06",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23412,"Pâte brisée, matière grasse végétale, cuite",505,"7,47","58,3","26,4",-,"0,9","3,93","0,5","1,73","16,5",< 1,"12,8",116,< 1,"< 0,2","2,3",0
farines et pâtes à tarte,23414,"Pâte brisée, pur beurre, crue",384,"5,77","44,9","19,5","3,23","1,88","13,1",-,"1,49",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23415,"Pâte brisée, pur beurre, surgelée, crue",387,"5,65","43,3","20,7","7,55","1,6","11,5",-,"0,83",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23420,"Pâte feuilletée, matière grasse végétale, crue",377,"5,41","41,4","20,4","2,31","1,87","7,57",15,"1,15",84,"1,3",-,94,"0,5","1,76","1,95",0
farines et pâtes à tarte,23421,"Pâte feuilletée, surgelée, crue",400,"3,28","33,3","27,4","1,7","3,05","13,3",-,"1,12",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23422,"Pâte feuilletée, cuite",531,"7,19","54,1",31,"0,3","1,8","16,9","4,7","1,57","18,6","0,6","11,9","90,1","0,3",-,4,"< 0,5"
farines et pâtes à tarte,23424,"Pâte feuilletée pur beurre, crue",368,"5,6","39,7","20,1","3,03","2,32","14,1",-,"1,37",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23425,"Pâte feuilletée pur beurre, surgelée crue",398,"4,99","35,3","25,8","1,33","1,4","17,7",-,"0,86",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23426,"Pâte feuilletée pur beurre, cuite",520,"5,95","53,5","30,8","1,05","1,2","21,1",-,"1,11",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23430,"Feuille de brick, cuite à sec sans matière grasse",378,"6,16","82,4","1,76",-,3,"0,28",-,-,110,"1,1","23,7",175,"3,18",-,"< 0,1",-
farines et pâtes à tarte,23440,"Pâte sablée, crue",404,"5,3",51,"19,6",13,"1,2","9,94",-,"0,25",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23442,"Pâte sablée, cuite",505,"5,7","64,4","24,6","22,9","1,5","11,8","1,37","0,27",11,"0,27","7,3",66,"0,23","< 0,25","1,63","< 0,5"
farines et pâtes à tarte,23444,"Pâte sablée pur beurre, crue",383,"5,95","53,6","15,8","13,4","1,65","10,1",-,"0,029",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23445,"Pâte phyllo ou Pâte filo, crue",289,"7,1","50,8",6,"0,18","1,9","1,47",0,"1,21",11,"3,21",15,74,"0,49",0,"0,08",0
farines et pâtes à tarte,23446,"Pâte sablée pur beurre, surgelée, crue",423,"4,9","60,9","17,5","21,3","1,2",12,-,"0,17",-,-,-,-,-,-,-,-
farines et pâtes à tarte,23448,"Pâte sablée pur beurre, cuite",469,"6,2",63,"20,9","20,1","1,9","13,7","91,5","0,47",20,"0,68",18,100,"0,52","< 0,25","0,38","< 0,5"
farines et pâtes à tarte,37001,Pâte à pizza crue,240,"7,05","44,2","3,45","1,4","2,2","0,25",-,"1,31",-,-,-,-,-,-,-,-
farines et pâtes à tarte,51550,"Khatfa feuille de brick, préemballée",283,7,59,"1,5",2,"2,5","0,1",-,"3,25",-,-,-,-,-,-,-,-
farines et pâtes à tarte,96778,Pâte à pizza cuite,324,"7,75","55,3","7,1","3,3","2,5","1,74","< 0,7","1,7",22,"0,6",16,150,"0,59",-,"1,25","< 0,5"
viandes diverses,8331,"Foie gras, canard, bloc (aliment moyen)",488,"6,88","2,19","50,1","1,41",0,"21,6",,"1,29",,"2,1",,,,,,
viandes diverses,6584,"Viande blanche, cuite (aliment moyen)",175,"27,5","0,76","6,84","0,03","0,00099","2,53","88,1","0,15","12,4","0,99",29,339,"2,03","0,27","0,26","0,43"
viandes diverses,6585,"Viande rouge, cuite (aliment moyen)",194,"26,1","0,028",10,0,0,"4,12","76,7","0,23","11,7","2,84","28,3",339,"5,42","0,098","0,26",
viandes diverses,6999,Viande cuite (aliment moyen),183,"26,8","0,53","8,16","0,023","0,008","3,19","83,6","0,18","12,1","1,77","28,7",339,"3,44","0,21","0,26","0,45"
viandes diverses,36900,"Volaille, cuite (aliment moyen)",165,"27,1",1,"5,82","0,044","0,0014","1,74","94,3","0,21","11,3","1,25","29,5",333,"1,58","0,23","0,27","0,64"
viandes diverses,40601,"Abat, cuit (aliment moyen)",164,"24,9","2,72","5,98","0,028","0,12","2,02",327,"0,62","9,63","6,57","18,1",253,"4,26","0,79","0,38","10,4"
viandes cuites,6100,"Boeuf, entrecôte, partie maigre, grillée/poêlée",198,"25,5","< 0,1","10,7",0,0,"4,75",45,"0,14",12,"2,55",23,279,"6,34","0,1","0,58",0
viandes cuites,6101,"Boeuf, braisé",240,"32,1",0,"12,4",0,0,"5,72",-,"0,15",-,"5,9","24,3",-,"10,5",-,-,-
viandes cuites,6104,"Boeuf, gîte à la noix, cuit",102,21,"0,2","1,9",-,0,"0,8",-,-,-,-,-,-,-,-,-,-
viandes cuites,6105,"Boeuf, faux-filet, rôti/cuit au four",194,"28,8",traces,"8,71",0,0,"3,62",-,-,-,"2,41",-,-,"4,21",-,-,-
viandes cuites,6110,"Boeuf, faux-filet, grillé/poêlé",182,"27,1",0,"8,17",0,0,"3,39",60,"0,15",20,"2,26",22,336,"3,95","0,2","0,44",0
viandes cuites,6123,"Boeuf, plat de côtes, braisé",269,"37,3",0,"13,3",0,0,"5,58",66,"0,13",12,"1,41",15,224,"8,02","0,7","0,29",0
viandes cuites,6131,"Boeuf, hampe, grillée/poêlée",174,"21,6",traces,"9,76",0,0,"4,36",-,-,-,"3,79",-,-,"5,11",-,-,-
viandes cuites,6141,"Boeuf, joue, braisée ou bouillie",236,"39,2",traces,"8,82",0,0,"3,19",-,-,-,"2,04",-,-,"4,75",-,-,-
viandes cuites,6151,"Boeuf, jarret, bouilli/cuit à l'eau",161,31,traces,"4,1",0,0,"1,13",50,-,-,"3,9",-,-,11,-,"0,53",-
viandes cuites,6161,"Boeuf, tende de tranche, grillée/poêlée",141,"28,7",traces,"2,92",0,0,"0,98",-,-,-,"2,75",-,-,"4,32",-,-,-
viandes cuites,6162,"Boeuf, tende de tranche, rôtie/cuite au four",146,"29,8",traces,"3,03",0,0,"1,03",-,-,-,"2,93",-,-,"4,48",-,-,-
viandes cuites,6200,"Boeuf, steak ou bifteck, grillé",128,"27,6",traces,"1,95",0,0,"0,9","91,3","0,16","7,07","2,21","28,9",371,"5,39",-,-,-
viandes cuites,6205,"Boeuf, onglet, grillé",171,23,traces,"8,8",0,0,-,76,-,-,4,-,-,6,-,"0,53",-
viandes cuites,6207,"Boeuf, rumsteck, grillé",123,25,traces,"2,5",-,-,"0,74",35,-,-,"2,9",-,-,"4,2",-,"0,44",-
viandes cuites,6208,"Boeuf, boule de macreuse, grillée/poêlée",144,"26,7",traces,"4,11",0,0,"1,53",-,-,-,"2,86",-,-,"5,62",-,-,-
viandes cuites,6210,"Boeuf, rosbif, rôti/cuit au four",117,"21,9","0,3","3,16",0,0,"0,62","18,1","< 0,1","10,1","3,1",32,369,"5,43",0,"0,2",-
viandes cuites,6211,"Boeuf, bavette d'aloyau, grillée/poêlée",162,25,traces,"6,94",0,0,"2,73",53,-,-,"3,38","24,8",-,"8,33",-,"0,54",-
viandes cuites,6214,"Boeuf, boule de macreuse, rôtie/cuite au four",147,"27,3",traces,"4,2",0,0,"1,59",-,-,-,"3,03",-,-,"5,74",-,-,-
viandes cuites,6230,"Boeuf, à bourguignon ou pot-au-feu, cuit",172,34,traces,"4,05",0,0,"2,77",75,"0,15",-,"4,3",-,-,"9,7",-,"0,51",-
viandes cuites,6241,"Boeuf, collier, braisé",184,33,traces,"5,8",0,0,"1,97",59,-,-,"4,5",-,-,"9,3",-,"0,62",-
viandes cuites,6251,"Bœuf, steak haché 5% MG, cuit",155,"25,5",0,"5,85",0,0,"2,67",88,"0,18",7,"2,83",22,347,"6,43",0,"0,12",0
viandes cuites,6253,"Bœuf, steak haché 10% MG, cuit",210,"26,1",0,"11,8",0,0,"4,63",88,"0,18",13,"2,71",22,333,"6,37",0,"0,12",0
viandes cuites,6255,"Bœuf, steak haché 15% MG, cuit",239,"23,6",0,"16,1",0,0,"7,08","76,3","0,21",15,"2,6","29,5",318,"4,9",0,"0,12",0
viandes cuites,6257,"Bœuf, steak haché 20% MG, cuit",265,23,"0,14","19,2",0,0,"8,14","76,4","0,2",24,"2,48",20,304,"4,3",0,"0,12",0
viandes cuites,6259,"Bœuf, steak haché, cuit (aliment moyen)",231,"23,8","0,0018","15,1",0,0,"6,65","77,5","0,21","14,3","2,62","28,6",321,"5,05",0,"0,12",0
viandes cuites,6271,"Boeuf, paleron, braisé ou bouilli",251,"36,8","0,2","11,4",0,0,"4,5",113,"0,17",14,"1,63",22,298,"9,57","0,1","0,11",0
viandes cuites,6310,"Boeuf, queue, bouillie/cuite à l'eau",196,28,traces,"9,3",0,0,"3,72",82,-,-,"2,9",-,-,8,-,"0,16",-
viandes cuites,6511,"Veau, côte, grillée/poêlée",156,"25,1",0,"6,24",0,0,"2,11","89,5","0,25",29,"1,3","22,5",305,"6,54","< 0,5","0,49",< 1
viandes cuites,6512,"Veau, carré, sauté/poêlé",171,28,traces,"6,6",0,0,"2,64",94,-,-,1,-,-,"7,6",-,"0,46",-
viandes cuites,6520,"Veau, escalope, cuite",147,31,traces,"2,5",0,0,"0,82",75,"0,15","10,8",1,"29,5",-,"3,21",-,"0,11",-
viandes cuites,6523,"Veau, noix, grillée/poêlée",147,"29,1",traces,"3,44",0,0,"1,06",-,-,-,"0,92",-,-,"3,52",-,-,-
viandes cuites,6524,"Veau, noix, rôtie",147,"29,1",traces,"3,44",0,0,"1,06",-,-,-,"0,73",-,-,"3,52",-,-,-
viandes cuites,6531,"Veau, filet, rôti/cuit au four",201,"23,4","0,5","11,7",0,0,"4,13",103,"0,23",19,"0,87",25,325,"3,03",0,"0,44",0
viandes cuites,6551,"Veau, rôti, cuit",143,"28,1",0,"3,39",0,0,"1,22",103,"0,17",6,"0,9",28,393,"3,08",-,"0,55",0
viandes cuites,6562,"Veau, épaule, grillée/poêlée",166,"27,6",traces,"6,17",0,0,"2,07",-,-,-,"1,16",-,-,"5,3",-,-,-
viandes cuites,6563,"Veau, épaule, braisée ou bouillie",219,"36,4",traces,"8,14",0,0,"2,91",-,-,-,"0,74",-,-,"6,99",-,-,-
viandes cuites,6564,"Veau, viande, cuite (aliment moyen)",162,"29,2","0,03","5,01",0,0,"1,74","88,8","0,18","13,9","0,95","27,2",,"4,57",,"0,36",
viandes cuites,6581,"Veau, jarret, braisé ou bouilli",207,"37,4",traces,"6,43",0,0,"1,95",84,-,-,"0,77",-,-,"8,81",-,"0,33",-
viandes cuites,6582,"Veau, tête, bouillie/cuite à l'eau",187,21,traces,"11,4",-,0,"4,18",102,-,-,"0,7",-,-,"1,6",-,"0,57",-
viandes cuites,6591,"Veau, collier, braisé ou bouilli",233,"34,9",traces,"10,4",0,0,"3,5",79,-,-,"0,65",-,-,"7,54",-,"0,34",-
viandes cuites,28007,"Porc, longe, cuite",240,"27,1",0,"14,7",0,0,"5,37",82,"0,15",19,"0,99",26,408,"2,32",1,"0,19","0,6"
viandes cuites,28010,"Porc, épaule, cuite",253,30,0,"14,8",0,0,"5,56",104,"0,12",18,"1,58",20,318,"4,23",1,"0,25","0,6"
viandes cuites,28101,"Porc, côte, grillée",242,"25,9",traces,"15,4",0,0,"9,01","81,5","0,15","18,4","0,84","32,1",413,"2,49",-,-,-
viandes cuites,28103,"Porc, rouelle de jambon, cuite",266,"36,9",traces,"13,1",0,0,-,-,"0,18",-,"1,7",-,444,"3,46",-,-,-
viandes cuites,28105,"Porc, carré, cuit",206,"34,1","0,6","7,45",0,0,"3,03","76,3","0,097",-,"0,89",-,402,"2,11",-,-,-
viandes cuites,28202,"Porc, filet, maigre, en rôti, cuit",198,"28,3",0,"9,39",0,0,-,"83,5","0,16","5,5","1,29","32,5",436,"2,69","< 0,5","0,08",1
viandes cuites,28203,"Porc, filet mignon, cuit",168,"26,1",traces,"7,1",0,0,"2,58","78,6","0,13","7,27","1,1","24,6",344,"1,98",-,-,-
viandes cuites,28205,"Porc, viande, cuite (aliment moyen)",214,28,"0,24","11,3",0,0,"5,1","77,8","0,12","13,5","0,92","29,4",361,"2,4","0,55","0,16","0,28"
viandes cuites,28301,"Porc, rôti, cuit",163,"30,5","0,65","4,31",0,0,"1,32","65,5","0,081","6,97","0,64","32,6",330,"1,74","0,5","0,11",0
viandes cuites,28401,"Porc, travers, braisé",333,"23,1","0,13","26,6",0,0,"10,7","98,1","0,12","30,4","1,2",18,226,3,"< 0,5","0,34","0,56"
viandes cuites,28451,"Porc, échine, rôtie/cuite au four",295,"26,2","< 0,1","21,2",0,0,-,"58,4","0,15",18,"1,09",28,425,"4,2","0,7","0,2","0,6"
viandes cuites,28461,"Porc, escalope de jambon, cuite",200,36,traces,"6,2",0,0,"1,85","99,6","0,19","6,77","0,87","35,4",512,"2,33",-,-,-
viandes cuites,36004,"Poulet, cuisse, viande et peau, rôtie/cuite au four",213,"25,9",2,"11,3",0,0,"4,44",122,"0,23","14,6","1,2","25,1",324,"2,16","< 0,5","0,19",3
viandes cuites,36005,"Poulet, viande et peau, rôti/cuit au four",213,"28,9","2,1","9,88","1,7",0,"2,78",117,"0,4","19,4","0,68","39,6",414,"1,27","1,5","0,39",0
viandes cuites,36006,"Poulet, cuisse, viande, rôti/cuit au four",171,"24,8",0,"8,03",0,0,"2,2",112,"0,26","11,6","1,2","22,6",252,"2,3","0,13","0,2",0
viandes cuites,36018,"Poulet, filet, sans peau, cuit",137,"29,2","1,2","1,76",0,0,"0,55","70,4","< 0,1","12,9","0,93","26,8",312,"0,74","0,1","0,29",0
viandes cuites,36030,"Poulet, cuisse, viande, bouilli/cuit à l'eau",188,"24,8","0,7","9,52",0,0,-,133,"0,23","5,8","1,2","26,2",262,"2,4","< 0,5","0,27","2,2"
viandes cuites,36031,"Poulet, cuisse, viande et peau, bouilli/cuit à l'eau",188,"26,1","< 0,55","9,1","< 0,2",0,"2,64",127,"0,18",15,"0,96",23,250,"2,3","< 0,25","0,54","< 0,5"
viandes cuites,36032,"Poulet, poitrine, viande et peau, rôti/cuit au four",189,"29,8",0,"7,78",0,0,"2,19",84,"0,18",14,"1,07",27,245,"1,02","0,1","0,27",0
viandes cuites,36033,"Poulet, aile, viande et peau, rôti/cuit au four",247,"23,8",0,"16,9",0,0,"4,98",141,"0,25",18,"0,84",19,212,"1,64","0,2","0,69",0
viandes cuites,36302,"Dinde, viande, rôtie/cuite au four",169,"26,4","7,25","3,84",0,0,"0,96",120,"< 0,1","9,66","1,14","44,3",483,"3,75","0,3","0,06",0
viandes cuites,36306,"Dinde, escalope, sautée/poêlée",124,"28,5",0,"1,09",0,0,"0,51","72,5","0,16","5,42","0,49","44,4",462,"1,22","< 0,5","0,08","0,75"
viandes cuites,36308,"Dinde, escalope, rôtie/cuite au four",128,"24,6","0,5","3,04",0,0,1,80,"0,25",9,"0,57",32,249,"1,72","0,3","0,06",0
viandes cuites,21501,"Agneau, côtelette, grillée",240,"25,7",traces,"15,2",0,0,"6,52","48,9","0,31","19,7",-,"20,1",-,"3,5",-,-,-
viandes cuites,21503,"Agneau, gigot, rôti/cuit au four",169,"26,8",0,"6,85",0,0,"2,63","97,6","0,19","21,8","1,4","30,7",301,"4,01",-,"0,13",0
viandes cuites,21506,"Agneau, épaule, rôtie/cuite au four",252,"30,5","< 0,1","14,5",0,0,"5,26","99,8","0,24","8,8","2,2","25,4",376,"4,7","< 0,5","0,14","6,9"
viandes cuites,21507,"Agneau, épaule, maigre, rôtie/cuite au four",197,"24,9",0,"10,8",0,0,"4,08",87,"0,17",19,"2,13",25,265,"6,04","0,1","0,18",0
