alim_code,alim_ssgrp_nom_fr,source AJOUT,alim_nom_fr,Energie (kcal/100g),Protéines (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Fibres alimentaires (g/100g),AG saturés (g/100g),Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Fer (mg/100g),Magnésium (mg/100g),Potassium (mg/100g),Zinc (mg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine C (mg/100g)
13004,légumes,,"Avocat, pulpe, cru",155,"1,61","3,67","13,8",1,4,"2,17","< 0,5","0,063","11,2","0,34","25,2",343,"0,46",0,"1,77","4,07"
20004,légumes,,"Bette ou blette, crue","12,3",1,"0,5","< 0,5","0,5","1,8","< 0,01",0,"0,57",25,"0,85",17,300,"0,07","< 0,25","0,25","3,08"
20009,légumes,,"Carotte, crue","36,4","0,77","6,45","0,26","5,42","2,7","0,054",0,"0,098","32,6","0,31","11,3",301,"0,22",0,"0,61","5,84"
20010,légumes,,Champignon tout type,"21,6","2,34","1,88","0,23","1,43","1,72","0,055",0,"0,012","7,78","0,69","10,9",341,"0,65","0,2","0,01","3,4"
20012,légumes,,"Salade, chicorée frisée","22,7","1,48","2,4","0,25","0,7","2,45","0,061",0,"0,077",76,"0,85","22,5",367,"0,61",0,"2,26","18,5"
20014,légumes,,"Chou rouge, cru","29,1","1,34","4,5","0,18","3,49","2,05","0,03",0,"0,047","44,8","0,63",15,268,"0,21",0,"0,09","58,5"
20016,légumes,,"Chou-fleur, cru",23,"1,77","2,05","0,31","1,56","2,13","0,088",0,"0,0092","26,4","0,41","11,9",293,"0,26",0,"0,14","56,6"
20019,légumes,,"Concombre, pulpe et peau","13,6","0,64","2,04","0,11","1,34","0,6","0,035",0,"0,012","19,2","0,13","13,6",157,"0,095",0,"0,09","8,25"
20020,légumes,,"Courgette, pulpe et peau","16,5","1,22","1,8","0,26","1,79","1,05","0,061",0,"0,017","18,7","0,36","17,5",262,"0,31",0,"0,12","17,5"
20022,légumes,,"Cresson de fontaine, cru","14,9","2,06","0,9","0,15","0,2","0,85","0,027",0,"0,13",101,"0,9",19,320,"0,16",0,1,"51,5"
20023,légumes,,"Céleri branche, cru","21,5","0,66","3,6","0,19","1,27","1,6","0,04",0,"0,2","48,4","0,3","9,5",289,"0,12",0,"0,24","6,05"
20026,légumes,,"Endive, crue","20,8","1,1","3,15","0,2","2,2",1,"0,034",0,"0,005","23,9","0,14","12,6",185,"0,19",0,"0,27","1,5"
20028,légumes,,"Fenouil, cru",20,"1,14","2,3","0,2","2,21","2,23","0,046",0,"0,074","39,6","0,53",14,405,"0,21",0,"0,58","10,5"
20031,légumes,,"Laitue, crue","15,1","1,3","1,33","0,2","0,73","1,2","0,021",0,"0,021","64,6","0,98","14,9",200,"0,2",0,"0,18","11,8"
20034,légumes,,"Oignon, cru",39,"1,1","6,25","0,62","4,8","1,7","0,2",0,"0,098",25,"0,00019",9,190,"0,23",0,"0,045","3,9"
20042,légumes,CIQUAL,"Oignon rouge, cru",39,"1,1","6,25","0,62","4,8","1,7","0,2",0,"0,098",25,"0,00019",9,190,"0,23",0,"0,045","3,9"
20074,légumes,CIQUAL,"Oignon vert, cru",39,"1,1","6,25","0,62","4,8","1,7","0,2",0,"0,098",25,"0,00019",9,190,"0,23",0,"0,045","3,9"
20038,légumes,,"Pissenlit, cru","48,8","2,84","6,1","0,85","0,71","2,7","0,17",0,"0,22","62,3","3,1","13,2",397,"0,21",0,"3,44","37,5"
20039,légumes,,"Poireau, cru","32,6","1,59","4,9","0,25","3,15","2,27","0,05",0,"0,034","50,7","1,5",19,208,"0,21",0,"0,74","18,5"
20041,légumes,,Poivron vert-jaune-rouge,"26,8","0,8","4,55","0,27","2,7","1,5","0,071",0,"0,021","7,7","0,4","11,9",155,"0,13","< 0,5","1,44",121
20044,légumes,,"Potiron, cru","19,9",1,"3,5","0,1","1,36","0,5","0,052",0,"0,0025",21,"0,8",12,340,"0,32",0,"1,06",9
20045,légumes,,"Radis rouge, cru","11,4","0,76","1,24","0,1","1,24","1,1",traces,0,"0,077",32,"0,27","12,6",294,"0,12",0,"0,01","27,5"
20047,légumes,,"Tomate, crue","18,4","0,86","2,26","0,26","2,25","1,2","0,056",0,"0,0081","8,14","0,12","10,1",256,"0,087",0,"0,66","15,5"
20052,légumes,,"Artichaut, cru","45,7","3,1","5,02","0,18","0,99","5,4","0,036",0,"0,15",52,"1,19","47,8",387,"0,49",0,"0,27","11,7"
20053,légumes,,"Aubergine, crue","21,2","1,12","2,39","0,14","2,39","2,7","0,034",0,"0,0063","8,7","0,32",12,235,"0,16",0,"0,17","2,1"
20054,légumes,,"Cardon, cru","13,6","0,66","1,7","0,1","1,5","1,6","0,011",0,"0,3",70,"0,7",42,400,"0,17",0,"0,19",2
20055,légumes,,"Céleri-rave, cru","32,4","1,5","4,3","0,2","3,6","3,7","0,043",0,"0,2","25,9","0,24","11,3",343,"0,18",0,"0,1",2
20056,légumes,,Champignon de Paris,"21,1","2,62","1,33","0,36","1,06",1,"0,067",0,"0,098","6,03","0,31","10,5",364,"0,5","0,3","0,02","3,09"
20057,légumes,,"Brocoli, cru","35,9","3,95","1,68","0,48","1,68","2,9","0,061",0,"0,048","45,9","0,76","21,9",357,"0,4",0,"1,04",106
20058,légumes,,"Chou de Bruxelles, cru","50,1","3,98","5,67","0,4","2,2","3,95","0,07",0,"0,041","32,3","1,15","23,5",436,"0,43",0,"0,89",103
20059,légumes,,"Épinard, cru","28,7","2,62","2,25","0,5","0,32","2,37","0,064",0,"0,16",114,"3,61","52,5",504,"0,82",0,"2,47","41,1"
20061,légumes,,"Haricot vert, cru",31,"1,85","3,85","0,21","3,03","2,85","0,06",0,"0,0096","48,5","1,02",21,224,"0,32",0,"0,36","13,6"
20064,légumes,,"Navet, pelé, cru","26,8","0,82","4,7","0,1","3,8","1,9","0,011",0,"0,11",40,"0,4","9,5",237,"0,25",0,"0,03","18,5"
20065,légumes,,"Chou-rave, cru","25,1","1,79","2,35","0,1","2,35","3,6","0,013",0,"0,05",24,"0,4",19,350,"0,03",0,"0,48","55,1"
20069,légumes,,"Chou vert, cru","25,3","2,53","0,99","0,41","0,99","3,08","0,054",0,"0,065","96,2","0,93",18,231,"0,22",0,"0,16",69
20070,légumes,,"Haricot vert, surgelé",34,"1,97","4,35","0,17","1,96","3,68","0,049",0,"0,013","51,5","0,85",22,186,"0,31",0,"0,24",18
20072,légumes,,"Petits pois, crus","67,3","5,84",7,"0,55","5,67","5,5","0,1",0,"0,0088","27,5","1,64","30,5",272,1,0,"0,075","41,5"
20073,légumes,,"Asperge, pelée, crue","23,5","2,04","2,4","0,21","1,88","1,95","0,051",0,"0,011",22,"1,32","11,5",202,"0,49",0,"0,72","8,8"
20082,légumes,,"Chou-fleur, surgelé, cru","25,9","2,09","2,64","0,37","1,91","1,82","0,1",0,"0,047","21,7","0,51",12,193,"0,17",0,"0,07","51,9"
20083,légumes,,"Épinard, surgelé, cru","24,9","2,87","0,89","0,49","0,6","2,7","0,075",0,"0,098",159,"2,28","50,5",398,"0,49",0,"2,9","21,4"
20084,légumes,,"Petits pois, surgelés","75,4","5,86","8,77","0,44","3,87","6,45","0,11",0,"0,09","27,3","1,53","25,9",158,"0,86",0,"0,025","20,8"
20085,légumes,,"Poivron vert, cru","19,8","0,74","2,8","0,24","2,18","1,75","0,057",0,"0,0032","13,5","0,35","11,2",181,"0,12",0,"0,46","92,2"
20087,légumes,,"Poivron rouge, cru","29,4","1,12","4,5","0,35","4,13","1,9","0,055",0,"0,012","6,39","0,46","12,4",229,"0,24",0,"2,24",159
20089,légumes,,"Radis noir, cru","20,3","0,9","3,1","< 0,1",-,"1,9",-,-,"0,022","53,8","0,15",11,312,"0,14",0,traces,"6,4"
20090,légumes,,"Scarole, crue","14,5","1,33","0,3","0,2","0,23","3,1","0,048",0,"0,048",52,"0,83",15,314,"0,79",traces,traces,"6,5"
20091,légumes,,"Betterave rouge, crue","50,6","1,74","9,1","0,24","6,76","2,55","0,038",0,"0,15","22,1","0,7",19,328,"0,54",0,"0,06","6,45"
20097,légumes,,"Échalote, crue","58,7","1,84","8,35","1,43","3,63","2,5","0,23",0,"0,043",37,"1,2",21,334,"0,4",0,"0,04",8
20099,légumes,,"Mâche, crue","19,2","2,3","0,6","0,4",-,2,"0,073",0,"0,032","49,3",2,29,385,"0,35",0,traces,"12,5"
20101,légumes,,"Légumes, mélange surgelé","65,1","2,26","5,71","2,65","2,18","4,7","0,62",0,"0,6",33,"0,98",24,212,"0,45",0,-,"13,7"
20103,légumes,,Champignon sauvage frais,"33,1","2,28","2,3","0,78","1,87","4,23","0,5",0,"0,016","8,33","3,52",10,449,"0,84","5,3","0,06","5,5"
20105,légumes,,"Champignon, morille","24,5","3,16","0,1","0,54","0,044","3,35","0,16",-,"0,064",43,"1,2",19,411,"2,03","5,1","0,05",5
20108,légumes,,"Maïs doux, épis, surgelé","97,4","3,36",17,"1,19","3,78","2,65","0,19",0,"0,01","4,18","0,59","30,3",276,"1,05",0,"0,37","6,9"
20111,légumes,,"Oseille, crue","23,4","1,89","1,6","0,65","1,54","1,8","0,1",0,"0,0094",44,"2,4",103,390,"0,2",0,-,48
20114,légumes,,"Champignon, pleurote","25,5","3,06","1,5","0,36","0,71","2,4","0,062",0,"0,034",5,"1,17",18,420,"0,77","0,7",0,4
20116,légumes,,"Chou blanc, cru","28,4","1,25","4,25","0,2",-,"2,3","0,041",0,"0,024","50,9","0,31","10,9",240,"0,15",0,"0,02","45,8"
20119,légumes,,"Tomate verte, crue","24,8","1,2",4,"0,2",4,"1,1","0,028",0,"0,033",13,"0,51",10,204,"0,07",0,"0,38","23,4"
20126,légumes,,"Haricot de Lima, cru",105,"6,84","15,3","0,86","1,48","4,9","0,2",0,"0,02",34,"3,14",58,467,"0,78",0,"0,32","23,4"
20128,légumes,,"Courge musquée, pulpe","23,5","0,55","4,6","0,1",-,1,-,-,-,"18,3","0,43","6,25",235,-,-,-,"4,6"
20132,légumes,,"Potimarron, pulpe, cru",18,"0,63","3,1","0,1",-,"1,1","0,027",0,"0,074","18,5","0,27","7,13",243,"0,11",0,"0,1",5
20134,légumes,,"Courge hokkaïdo, pulpe","56,1","1,4","9,98","0,6",-,"2,6",-,-,-,"24,7","0,4","10,8",436,-,-,-,"13,9"
20136,légumes,,"Courge melonnette, pulpe","30,8","0,75","5,98","0,13",-,"1,35",-,-,-,"18,3","0,48","16,8",359,-,-,-,"9,7"
20138,légumes,,"Courge doubeurre, pulpe",25,1,"4,03","0,1","2,2",2,"0,021",0,"0,01",48,"0,7",34,352,"0,15",0,"1,44",21
20139,légumes,,"Courge, crue","14,9","1,1","1,6","0,17","1,6","1,3","0,037",0,"0,011","28,5","0,6","16,5",312,"0,26",0,"0,12","14,7"
20145,légumes,,"Courge spaghetti, pulpe","32,3","0,64","5,41","0,57","2,76","1,5","0,12",0,"0,043",23,"0,31",12,108,"0,19",0,"0,13","2,1"
20151,légumes,,"Piment, cru","44,5","1,87","7,7","0,32","5,3","1,65","0,031",0,"0,02",14,"1,12",24,331,"0,28",0,"0,69",155
20152,légumes,CIQUAL,"Piment d'Espelette, cru","44,5","1,87","7,7","0,32","5,3","1,65","0,031",0,"0,02",14,"1,12",24,331,"0,28",0,"0,69",155
20153,légumes,CIQUAL,"Piment jalapeño, cru","44,5","1,87","7,7","0,32","5,3","1,65","0,031",0,"0,02",14,"1,12",24,331,"0,28",0,"0,69",155
20159,légumes,,"Champignon, oronge vraie","23,2",2,"2,45","0,3",1,"1,7","0,07",0,"0,013",17,"1,1",-,320,"0,4","2,1","0,12",3
20160,légumes,,"Champignon, cèpe, cru","31,6","3,13","3,03","0,43","1,7","1,93","0,071",0,"0,024",23,1,12,361,"0,4","3,1","0,04",3
20161,légumes,,"Champignon, rosé des prés","25,3","2,3","2,45","0,4",1,"1,7","0,1",0,"0,013",10,"1,2",-,320,"0,4",0,"0,12",4
20162,légumes,,"Chicorée rouge, crue","18,9","1,4","1,6","0,1","1,6",3,"0,02",0,"0,018",36,"0,3",-,180,"0,2",0,"0,57",10
20163,légumes,,"Chicorée verte, crue","16,1","1,9","0,5","0,5","0,5",1,"0,12",0,"0,041","82,5","4,15",17,498,"0,32",0,"0,57",46
20166,légumes,,"Citrouille, pulpe, crue","29,9",1,6,"0,1","2,76","0,5","0,052",0,"0,0025",21,"0,8",12,340,"0,32",0,"1,06",9
20167,légumes,,"Chou chinois, pak-choi",16,"1,38","1,65","0,2","1,18","1,05","0,031",0,"0,13","86,4","0,68","17,5",249,"0,17",0,"0,11","40,3"
20168,légumes,,"Poivron jaune, cru","29,4",1,"5,42","0,21",-,"0,9","0,031",0,"0,005",11,"0,46",12,212,"0,17",0,-,184
20171,légumes,,"Laitue romaine, crue","17,3","1,24","1,35","0,3","1,19","2,1","0,04",0,"0,018",33,"0,97",14,247,"0,23",0,"0,13",14
20172,légumes,,"Tomate cerise, crue","21,4","0,8",3,"0,4","2,96","1,3","0,054",0,"0,033",11,"0,4",11,290,"0,2",0,"1,22",28
20173,légumes,,"Pois mange-tout, pois gourmand","44,8","3,08","6,2","0,27",4,"2,63","0,039",0,"0,01","40,7","2,08",24,200,"0,27",0,"0,39",60
20181,légumes,,"Panais, cru","58,3","1,54","10,1","0,4","4,8","4,7","0,063",0,"0,02","45,5","0,7","29,5",505,"0,72",0,"1,9","11,5"
20183,légumes,,"Haricot mungo, pousse de soja","30,5","2,57","3,4","< 0,5","3,4","1,7","< 0,0002",0,"0,043",16,"0,44",16,120,"0,32","< 0,5","0,095","4,13"
20195,légumes,,"Haricot beurre, cru","36,1","1,85","5,6","0,16",-,"2,45","0,026",0,"0,015",41,"1,07",26,209,"0,32",0,"0,45","18,7"
20197,légumes,,"Salsifis noir, cru","83,1","3,21","15,3","0,27",-,"3,3","< 0,1",0,"0,031","42,1","0,7","27,6",384,"0,38",0,"0,8","5,5"
20198,légumes,,"Bambou, pousse, crue","35,1","2,52","5,08","0,2",3,"1,45","0,053",0,"0,01","15,5","0,4",3,517,"1,1",0,1,"7,5"
20199,légumes,,"Cresson alénois, cru","27,1","2,55","2,2","0,6","2,2","1,35","0,047",0,"0,096","75,5","1,8",41,368,"0,35",0,"2,15",52
20200,légumes,,"Laitue iceberg, crue","17,7","1,01","2,45","0,18","1,48","1,15","0,023",0,"0,024","17,4","0,43","8,73",179,"0,21",0,"0,22","4,72"
20201,légumes,,"Rutabaga, cru","33,8","1,17","5,7","0,13","4,46","2,6","0,023",0,"0,028","45,2","0,35",17,349,"0,21",0,"0,3",33
20203,légumes,,"Haricot beurre, surgelé","33,8",2,"4,9","0,17","2,5","2,33","0,047",0,"0,0092",51,"0,78",22,186,"0,26",0,-,16
20204,légumes,,"Brocoli, surgelé, cru","26,9","2,79","1,56","0,44","1,24","2,77","0,097",0,"0,05","48,5","0,77",17,231,"0,41",0,"1,29","62,3"
20206,légumes,,"Chou de Bruxelles, surgelé","43,2","3,43","4,5","0,33","2,35","4,28","0,062",0,"0,029",34,"0,82",22,427,"0,37",0,"0,34","77,5"
20208,légumes,,"Carotte, surgelée, crue","30,5","0,63","4,99","0,27","4,73","2,76","0,067",0,"0,15","34,9","0,41",12,235,"0,33",0,"0,57","4,32"
20210,légumes,,"Concombre, pulpe, cru","11,4","0,58","1,5","0,19","1,38","0,7","0,078",0,"0,016",14,"0,22",12,136,"0,17",0,"0,03","3,73"
20214,légumes,,"Petits pois-carottes, surgelés","55,9","3,89","7,1","0,37","3,43","4,3","0,097",0,"0,082","29,5","1,2",18,194,"0,52",0,-,"13,6"
20217,légumes,,"Roquette, crue","27,9","2,58","2,1","0,66","2,05","1,6","0,086",0,"0,068",160,"1,46",47,369,"0,47",0,"0,43",15
20218,légumes,,"Chou frisé, cru","53,5","4,33","4,2","1,07","2,26","4,9","0,12",0,"0,091",185,"1,74","33,5",378,"0,59",0,"3,47",145
20228,légumes,,"Champignon de Paris, surgelé","15,9","1,8","0,83","0,25","0,25","1,97","0,1",-,"0,02",10,"0,8",-,-,-,-,-,4
20230,légumes,,"Courgette, surgelée","17,8","1,19","2,18","0,14","1,56","1,48","0,027",0,"0,019",20,"0,64",13,218,"0,21",0,"0,12","9,32"
20231,légumes,,"Crosne, surgelé, cru","40,4","1,4","8,7",0,"0,5",0,0,-,"0,0025",-,-,-,-,-,-,-,-
20232,légumes,,"Artichaut, fond, surgelé","59,7","2,08","8,09","0,43","1,89","7,54","0,1",-,"0,18",-,-,-,-,-,-,-,-
20233,légumes,,"Maïs doux, surgelé, cru",105,"3,28","19,8","0,78","3,78","2,8","0,12",0,"0,013",4,"0,68",32,294,"0,7",0,"0,09","7,2"
20234,légumes,,"Navet, surgelé, cru","16,6","0,82",2,"0,18","1,9","1,85","0,017",0,"0,066",23,"0,7",10,137,"0,14",0,-,"4,4"
20235,légumes,,"Oignon, surgelé, cru","31,9",1,"5,39","0,12","4,59","2,65","0,017",0,"0,02","26,5","0,4","8,5",133,"0,095",0,"0,045","5,65"
20236,légumes,,"Poireau, surgelé, cru","36,4","1,42","3,35","1,36","2,76","2,55","0,25",-,"0,016",252,"0,8",-,-,-,-,-,26
20237,légumes,,"Salsifis, surgelé, cru","40,2","2,65","4,15","0,15","2,5","5,8",0,-,"0,043",-,-,-,-,-,-,-,-
20263,légumes,,"Légumes pour potages, surgelés","34,1","1,44","4,69","0,44","2,5","2,86","0,11",-,"0,052",37,1,-,-,-,-,-,25
20265,légumes,,"Julienne de légumes, surgelée","27,9","1,19","4,08","0,25","3,13","2,28","0,1",-,"0,1","43,5","0,55",-,-,-,-,-,9
20266,légumes,,"Légumes ratatouille, surgelés","21,1","1,01","3,23","0,089","2,88","1,67",0,-,"0,11",-,-,-,-,-,-,-,-
20267,légumes,,"Printanière légumes, surgelée","51,5","2,4","8,48","0,078","2,62","3,62",0,-,"0,04",-,-,-,-,-,-,-,16
20269,légumes,,"Haricot plat, cru","32,6","1,93","4,47","0,12","1,3","2,97",0,-,"0,049",60,"0,8",-,-,-,-,-,16
20270,légumes,,"Épinard, jeunes pousses","22,1","2,9","0,92","< 0,5","< 0,2","2,4","< 0,01",-,"0,2",86,"2,2",120,750,"0,82","< 0,25","2,36","11,6"
20272,légumes,,Mesclun mélange jeunes pousses,22,2,"2,5",0,0,2,0,-,"0,048",-,-,-,-,-,-,-,-
20279,légumes,,"Asperge, verte, crue","24,7","2,46","2,03","0,27","1,5","2,15","0,069",0,"0,014","22,4",1,"12,2",267,-,0,-,"15,5"
20280,légumes,,Chou romanesco brocoli à pomme,"28,8","2,93","2,2","0,4","2,2","2,35","0,047",0,"0,039","34,5","0,92",20,300,"0,64",0,"0,04","70,6"
20282,légumes,,"Asperge, blanche ou violette","26,3","2,5","2,5","0,3",-,"1,8","0,07",0,"0,019","16,6",-,"7,3",169,-,0,-,18
20283,légumes,,"Salicorne, fraîche","14,1","0,67","1,1","0,24",-,"2,46",-,-,"2,56","34,3","4,89","75,3",119,"0,48",-,"0,51",-
20496,légumes,,Légumes pour couscous surgelés,"46,5","2,05","6,75","0,7","3,05","2,53","0,1",-,"0,12","35,6","0,8",-,-,-,-,-,"27,4"
25604,légumes,,Salade verte non assaisonnée,"13,5","1,01","1,5","0,1","0,83","1,3","0,028","< 0,5","0,046","35,3","0,64","15,3",260,"0,18","< 0,5","0,17","1,95"
53100,légumes,,"Banane plantain, crue",132,"1,28","29,6","0,39",-,"2,3","0,14",0,"0,01",3,"0,6",37,499,"0,14",0,"0,14","18,4"
20000,légumes,,"Artichaut, cuit","33,2","2,53","0,99","0,28","0,99","8,3","0,069",0,"0,14","42,9","0,67","44,6",427,"0,29",0,"0,19","9,1"
20001,légumes,,Asperge bouillie/cuite à l'eau,"19,8","2,53","0,81","0,32","0,81","1,8","0,072",0,"0,028","19,9","0,74","6,31",198,"0,2",0,"1,35","16,1"
20002,légumes,,"Aubergine, cuite","32,7","1,23","4,17","0,28","3,41","4,3","0,052",0,"0,015","20,1","0,25",15,123,"0,098",0,"0,41","1,3"
20003,légumes,,"Betterave rouge, cuite","47,2","1,84","8,56","0,18","7,96",2,"0,028",0,"0,13","19,1","0,79","16,8",305,"0,27",0,"0,04","3,6"
20005,légumes,,"Bette ou blette, cuite","12,1","0,7","0,46","< 0,5","0,46","2,5","< 0,01",0,"0,25",56,"0,35",18,240,"0,08","< 0,25","0,41","< 0,5"
20006,légumes,,"Brocoli, cuit","22,8","2,1","1,1","0,78","1,1","1,5","0,2",0,"0,098","43,3","< 0,1","11,2",125,"< 0,1",0,"0,9","23,9"
20007,légumes,,"Carotte, appertisée, égouttée","21,8","0,66","3,38","0,2","2,49","1,75","0,057",0,"0,62",25,"0,64",8,179,"0,26",0,"0,74","2,7"
20008,légumes,,"Carotte, cuite",19,"0,55","2,6","0,1","2,51","2,8","0,019",0,"0,051","31,5","< 0,1","7,5","96,4","< 0,1",0,"0,56",< 1
20011,légumes,,Champignon tout type appertisé,"24,9","1,87","2,56","0,29","2,18","2,4","0,038",0,"0,8","18,9","0,79","6,65",129,"0,51","0,2","0,01",0
20013,légumes,,"Chou de Bruxelles, cuit","34,6","2,6","4,2","0,11","1,7","3,2","0,023",0,"0,024","36,2","< 0,1","16,9",324,"< 0,1",0,"0,43","56,4"
20015,légumes,,"Chou vert, cuit","25,1","1,03","3,04","0,45","2,79","2,4","0,14",0,"0,098","69,7","0,28","15,1",190,"0,22",0,"0,14","27,3"
20017,légumes,,"Chou-fleur, cuit","20,9","1,6","1,6","0,46","1,59",2,"0,097",0,"0,017","19,2","0,31","12,9",238,"0,22",0,"0,07","9,7"
20018,légumes,,"Coeur de palmier, conserve","35,3","2,53","4,03","0,5","1,5","2,32","0,13",0,"0,97",58,"3,13",38,177,"1,15",0,-,"7,9"
20021,légumes,,"Courgette, cuite","15,5","0,93","1,4","0,36","1,39","1,5","0,1",0,"0,098","19,3","0,32","22,3",238,"0,22",0,"0,12","2,9"
20024,légumes,,"Céleri branche, cuit","12,7","0,82","1,2","0,16","1,2","1,6","0,04",0,"0,22","53,3","0,42",9,284,"0,077",0,"0,35","6,1"
20025,légumes,,"Céleri-rave, cuit","36,5","1,3","4,6","0,86","2,8","2,6",-,0,"0,15","52,4","0,32","15,1",306,"0,24",0,"0,22","2,7"
20027,légumes,,"Épinard, cuit","21,5","3,2","0,5","0,14","0,47","2,7","0,043",0,"0,069",140,"2,14","54,4",396,"0,65",0,"2,4","2,1"
20029,légumes,,"Pousse de soja, conserve","20,6","1,56","2,36","0,12","1,78","1,63","0,058",0,"0,35","13,4","0,26","7,53","31,5","0,11",0,"0,065","0,65"
20030,légumes,,"Haricot vert, cuit","29,4",2,3,"0,17",1,4,"0,042",0,"0,4","55,3","0,6","22,3",174,"0,2",0,"0,45",5
20033,légumes,,"Navet, cuit",25,"0,9","3,8","0,2","2,9","2,2","0,008",0,"0,073","37,3","0,11","8,75",237,"0,099",0,"0,02","5,6"
20035,légumes,,"Oignon, cuit","34,6","1,3","6,2","0,2",4,"1,4","0,024",0,"0,021","29,2","0,21",13,220,"0,19",0,"0,015","2,1"
20036,légumes,,"Petits pois, conserve","81,5","5,12","10,7","0,8","3,59","5,75","0,15",0,"0,64","20,6","1,29","16,3","71,5","0,42",0,"0,21","6,9"
20037,légumes,,"Petits pois, cuits","61,4","5,8","4,7","0,87","1,8","5,8","0,21",0,"0,018","32,7","1,17","31,9",135,"0,8",0,"< 0,1","1,8"
20040,légumes,,"Poireau, cuit","24,6","1,1",3,"0,2","2,11","3,2","0,027",0,"0,015","25,6","0,34","8,45",151,"0,1",0,"0,5","1,3"
20043,légumes,,"Potiron, appertisé, égoutté","32,8","0,93","5,19","0,28","3,3","2,9","0,15",0,"0,31",26,"1,39",23,206,"0,17",0,"1,06","4,2"
20046,légumes,,"Salsifis, cuit","67,7","2,74","12,3","0,17","2,9","3,1","0,041",0,"0,04",47,"0,55",18,283,"0,3",0,"0,19","4,6"
20048,légumes,,"Tomate, pelée, conserve","18,3","1,07","1,89","0,28","1,88","1,27","0,045",0,"0,28","21,1","0,77","9,2",190,"0,11",0,"0,67",12
20049,légumes,,"Maïs doux, en épis, cuit","78,6","3,36","11,7","1,5","4,54","2,4","0,2",0,"0,023",3,"0,45",26,218,"0,62",0,"0,09","5,5"
20051,légumes,,"Macédoine de légumes, conserve","40,6","2,38","5,59","0,28","1,73","3,16","0,076",0,"0,59","40,7","1,05","10,6",291,"0,28",0,"0,29",5
20060,légumes,,"Épinard, appertisé, égoutté","24,5","2,81","0,93","0,5","0,4","2,4","0,081",0,"0,81",127,"2,3",76,346,"0,46",0,"1,25","14,3"
20062,légumes,,"Haricot vert, conserve","19,9","1,33","1,23","0,31","0,46","3,36","0,09",0,"0,69","42,7","0,81",13,94,"0,23",0,"0,14","3,1"
20063,légumes,,"Haricot beurre, conserve","24,2","1,22","3,48","0,23","0,86","1,68","0,022",0,"0,66",25,"0,9",15,104,"0,3",0,"0,29","4,1"
20066,légumes,,"Maïs doux, appertisé, égoutté",106,"2,82","18,4","1,68","5,16","3,1","0,26",0,"0,59","3,51","0,35","26,9",224,"0,39",0,"0,29","3,55"
20067,légumes,,"Artichaut, appertisé, égoutté","39,8","1,5","6,5","0,2","1,5",3,0,-,"0,8",-,-,-,-,-,-,-,-
20068,légumes,,"Tomate, concentré, appertisé","99,2","4,4","17,1","0,53","13,3","4,2","0,093",0,"0,27","45,6","1,2","63,3",1010,"< 0,1",0,"5,7","2,6"
20071,légumes,,"Haricot vert, surgelé, cuit","35,9","1,84","5,1","0,19","1,23","3,3","0,042",0,"0,0097",51,"0,68",19,159,"0,24",0,"0,04","11,6"
20076,légumes,,"Asperge, appertisée, égouttée","18,3","1,79","1,43","0,27","1,23","1,5","0,085",0,"0,7","15,8","1,09","8,5",142,"0,42",0,"0,74","18,4"
20077,légumes,,"Chou de Bruxelles, conserve","38,1","2,56","4,1","0,53","2,5","3,3","0,078",0,"0,63","26,3","0,7","12,2",252,"0,2",0,"0,69",18
20078,légumes,,"Céleri branche, conserve","13,5","0,72","1,38","0,15","0,8",2,"0,1",-,"0,73","29,2",-,8,281,"0,14",-,-,-
20079,légumes,,"Champignon de Paris, conserve","19,4","2,23","0,7","0,37",0,"2,5","0,065",0,"0,63","22,2","0,9","4,85","72,1","0,44",0,0,"6,5"
20081,légumes,,"Salsifis, appertisé, égoutté","28,9","1,38","4,25","0,15",1,"2,5","0,07",-,"0,71",21,-,"8,9",173,-,-,-,-
20086,légumes,,"Poivron vert, cuit","17,4","0,93","2,36","0,2","2,36","1,2","0,029",0,"0,005",9,"0,46",10,166,"0,12",0,"0,5","74,4"
20088,légumes,,"Poivron rouge, cuit","39,9","1,21",7,"0,3",6,"2,2","0,1",-,"0,0055",9,-,14,180,"0,2",-,"0,9",81
20093,légumes,,"Petits pois-carottes, conserve","50,1","2,57","7,59","0,33","3,89","3,27","0,051",0,"0,61",23,"0,75",14,100,"0,58",0,traces,"6,6"
20094,légumes,,"Chou-rave, bouilli",28,"1,8","4,4","0,11","2,8","1,1","0,014",0,"0,053",25,"0,4",19,340,"0,31",0,"0,52",54
20095,légumes,,"Chou rouge, bouilli","25,3","1,51","3,32","0,09","3,32","2,6","0,011",0,"0,044","54,6","0,66","11,8",262,"0,14",0,"0,12","34,4"
20096,légumes,,"Potiron, cuit","25,9","0,81","4,5","0,07","3,1",2,"0,036","1,39","< 0,01",13,"0,18","6,9",230,"0,1","< 0,25","0,24","0,84"
20102,légumes,,Champignon de Paris bouilli,"28,7","2,17",3,"0,47","2,34","2,2","0,061",0,"0,005",6,"1,74",12,356,"0,87","0,2","0,01",4
