alim_code,alim_ssgrp_nom_fr,source AJOUT,alim_nom_fr,Energie (kcal/100g),Protéines (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Fibres alimentaires (g/100g),AG saturés (g/100g),Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Fer (mg/100g),Magnésium (mg/100g),Potassium (mg/100g),Zinc (mg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine C (mg/100g)
18008,eaux,,"Eau de source, embouteillée",0,0,0,0,0,0,0,,,,,,,,,,
18009,eaux,,Eau minérale,0,0,0,0,0,0,0,0,"0,0019","6,55","0,0033","1,63","0,22","0,0047",0,0,0
18044,eaux,,Eau minérale (aliment moyen),0,0,0,0,0,0,0,0,"0,0042","19,1","0,0017","3,98","0,58","0,0066",0,0,0
18045,eaux,,"Eau minérale, plate",0,0,0,0,0,0,0,0,"0,0019","20,4","0,0021","4,12","0,26","0,0077",0,0,0
18046,eaux,,"Eau minérale, gazeuse",0,0,0,0,0,0,0,0,"0,011","15,8","0,00058","3,77","1,5","0,0037",0,0,0
18066,eaux,,Eau Plate,0,0,0,0,0,0,0,0,"0,0076","7,13","0,03","0,99","0,73","0,011",0,0,0
18430,eaux,,Eau embouteillée de source,0,0,0,0,0,0,-,-,-,"16,9","0,023","1,81","0,99","0,011",-,-,-
76000,eaux,,"Eau minérale Abatilles (Arcachon, 33)",0,0,0,0,0,0,0,-,"0,023","1,9","0,01","0,9","0,4","< 0,0005",-,-,-
76001,eaux,,"Eau minérale Aix-les-Bains (Aix-les-Bains, 73)",0,0,0,0,0,0,0,0,"0,00035","8,23","< 0,001","2,25","0,08","< 0,0005",0,0,0
76002,eaux,,"Eau minérale Aizac (Aizac, 07)",0,0,0,0,0,0,0,0,"0,00033","8,01","< 0,001","2,77","0,12","0,0016",0,0,0
76004,eaux,,"Eau minérale Amanda (St-Amand, 59)",0,0,0,0,0,0,0,0,"0,01",24,"0,04","6,6","0,61","< 0,0005",0,0,0
76006,eaux,,"Eau minérale Arcens (Arcens, 07)",0,0,0,0,0,0,0,0,"0,004","0,9","0,0006","1,6","0,53","< 0,0005",0,0,0
76007,eaux,,"Eau minérale Ardesy (Ardes, 63)",0,0,0,0,0,0,0,0,"0,064",17,"0,0006","9,2",13,"0,001",0,0,0
76008,eaux,,"Eau minérale Auvergne (Cornillon, 38)",0,0,0,0,0,0,0,0,"0,0016",34,"< 0,001","2,71","0,3","0,0018",0,0,0
76010,eaux,,"Eau minérale Celtic (Niederbronn, 67)",0,0,0,0,0,0,0,0,"0,00028","1,05","< 0,001","0,4","0,19","< 0,0005",0,0,0
76011,eaux,,"Eau minérale Chambon (Chambon, 45)",0,0,0,0,0,0,0,0,"0,0027","9,6","< 0,001","0,61","0,37","< 0,0005",0,0,0
76012,eaux,,"Eau minérale Chantemerle (Le Pestrin, 07)",0,0,0,0,0,0,0,0,"0,00028","2,62","< 0,001","0,96","0,13","0,007",0,0,0
76013,eaux,,"Eau minérale Chateauneuf (Chateauneuf, 63)",0,0,0,0,0,0,0,0,"0,038","11,9","< 0,001",3,"4,4","< 0,0005",0,0,0
76014,eaux,,"Eau minérale Chateldon (Chateldon, 63)",0,0,0,0,0,0,0,0,"0,0012",34,"< 0,001","4,9","4,1","0,004",0,0,0
76015,eaux,,"Eau minérale Clos de l'Abbaye (St-Amand, 59)",0,0,0,0,0,0,0,0,"0,006","16,4","0,0005","4,15","0,36","0,0005",0,0,0
76016,eaux,,"Eau minérale Contrex (Contrexéville, 88)",0,0,0,0,0,0,0,0,"0,0013","46,8","0,0005","7,45","0,28","0,0095",0,0,0
76017,eaux,,"Eau minérale Dax (Dax, 40)",0,0,0,0,0,0,0,0,"0,024","11,8","< 0,001","3,18","2,03","< 0,0005",0,0,0
76018,eaux,,Eau minérale Didier,0,0,0,0,0,0,0,0,"0,032","13,7","0,0005","11,3","1,4","< 0,0005",0,0,0
76020,eaux,,"Eau minérale Evian (Evian, 74)",0,0,0,0,0,0,0,0,"0,0011",8,"< 0,0083","2,6","0,1","< 0,005",0,0,0
76022,eaux,,"Eau minérale Hépar (Vittel, 88)",0,0,0,0,0,0,0,0,"0,0031","54,9","< 0,001","11,9","0,41","< 0,01",0,0,0
76023,eaux,,"Eau minérale Hydroxydase (Le Breuil sur Couze, 63)",0,0,0,0,0,0,0,0,"0,058","20,1","0,018",24,"18,2","0,0005",0,0,0
76024,eaux,,"Eau minérale Vernière (Les Aires, 34)",0,0,0,0,0,0,0,0,"0,0023",18,"< 0,001","7,3",4,"0,016",0,0,0
76025,eaux,,"Eau minérale Luchon (Luchon, 31)",0,0,0,0,0,0,0,0,"0,0002","2,65","< 0,001","0,1","0,02","< 0,0005",0,0,0
76027,eaux,,"Eau minérale Mont-Roucous (Lacaune, 81)",0,0,0,0,0,0,0,0,"0,0005","0,24","< 0,001","0,05","0,04","< 0,0005",0,0,0
76028,eaux,,"Eau de source Ogeu (Ogeu, 64)",0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
76029,eaux,,"Eau minérale Orée du bois (St-Amand, 59)",0,0,0,0,0,0,0,0,"0,01",24,"0,0044","6,12","0,64","< 0,0005",0,0,0
76030,eaux,,"Eau minérale Orezza (Rapaggio, 20B)",0,0,0,0,0,0,0,0,"0,0017","18,5","0,035","1,65","0,16","< 0,0005",0,0,0
76031,eaux,,"Eau minérale Parot (St-Romain-le-Puy, 42)",0,0,0,0,0,0,0,0,"0,016",11,"0,025","9,4",11,"< 0,0005",0,0,0
76032,eaux,,"Eau minérale Plancoet (Plancoet, 22)",0,0,0,0,0,0,0,0,"0,0059","2,3","< 0,001","1,4","0,45","< 0,0005",0,0,0
76033,eaux,,"Eau minérale Propiac (Propiac, 26)",0,0,0,0,0,0,0,0,"0,17","32,7","< 0,001","8,88","2,12","< 0,0005",0,0,0
76034,eaux,,"Eau minérale Puits St-Georges (St-Romain-le-Puy, 42)",0,0,0,0,0,0,0,0,"0,0063","4,5","0,0032","3,3","1,8","< 0,0005",0,0,0
76035,eaux,,"Eau minérale Quézac (Quézac, 48)",0,0,0,0,0,0,0,0,"0,003",17,"< 0,001","6,9","3,8","0,0007",0,0,0
76036,eaux,,"Eau minérale Reine des basaltes (Asperjoc, 07)",0,0,0,0,0,0,0,0,"0,0019","12,5","< 0,001","6,45","2,57","0,0021",0,0,0
76037,eaux,,"Eau minérale Rozana (Beauregard, 63)",0,0,0,0,0,0,0,0,"0,11","30,1","< 0,001",16,"5,2","< 0,0005",0,0,0
76038,eaux,,"Eau minérale Sail-les-Bains (Sail-les-Bains, 42)",0,0,0,0,0,0,0,0,"0,0057","2,1","< 0,001","0,2","0,48","0,0007",0,0,0
76039,eaux,,"Eau minérale Salvetat (La Salvetat, 34)",0,0,0,0,0,0,0,0,"0,00086",21,"< 0,001","0,95","0,23","< 0,0005",0,0,0
76040,eaux,,"Eau minérale Soultzmatt ( Soultzmatt, 68)",0,0,0,0,0,0,0,0,"0,0061","11,5","< 0,001","5,43","4,35","0,0012",0,0,0
76043,eaux,,"Eau minérale St-Amand (St-Amand, 59)",0,0,0,0,0,0,0,0,"0,0061","17,6","0,0008","4,6","0,5","< 0,0005",0,0,0
76044,eaux,,"Eau minérale St-Antonin (St-Antonin-Noble-Val, 82)",0,0,0,0,0,0,0,0,"0,0015","56,8","0,009","8,9","0,3","0,0008",0,0,0
76046,eaux,,"Eau minérale St-Diéry (St-Diéry, 63)",0,0,0,0,0,0,0,0,"0,019","8,5","< 0,001",8,"6,5","< 0,0005",0,0,0
76047,eaux,,"Eau minérale Ste-Marguerite (St-Maurice, 63)",0,0,0,0,0,0,0,0,"0,038","7,1","< 0,001",4,"3,3","0,0012",0,0,0
76049,eaux,,"Eau minérale St-Yorre (Saint-Yorre, 03)",0,0,0,0,0,0,0,0,"0,053",9,"0,0015","1,1",11,"< 0,0005",0,0,0
76050,eaux,,"Eau minérale Thonon (Thonon, 74)",0,0,0,0,0,0,0,0,"0,0014","9,2","< 0,001","1,9","< 0,1","< 0,0005",0,0,0
76053,eaux,,"Eau minérale Ventadour (Le Pestrin, 07)",0,0,0,0,0,0,0,0,"0,00033","4,5","< 0,001","1,05","0,21","0,006",0,0,0
76054,eaux,,"Eau minérale Vernet (Prades, 07)",0,0,0,0,0,0,0,0,"0,00086","3,2","< 0,001","1,7","2,2","0,004",0,0,0
76055,eaux,,"Eau minérale Vichy Célestins (Saint-Yorre, 03)",0,0,0,0,0,0,0,0,"0,039","10,3","< 0,001",1,"6,6","0,0008",0,0,0
76056,eaux,,"Eau minérale Vittel (Vittel, 88)",0,0,0,0,0,0,0,0,"0,0013",24,"< 0,001","4,2","0,19","0,02",0,0,0
76057,eaux,,"Eau minérale Volvic (Volvic, 63)",0,0,0,0,0,0,0,0,"0,0025","1,2","< 0,001","0,8","0,6","< 0,01",0,0,0
76058,eaux,,"Eau minérale Volvic active (Volvic, 63)",0,0,0,0,0,0,0,0,"0,0019","1,07","< 0,001","0,75","0,58","< 0,0005",0,0,0
76059,eaux,,"Eau minérale Wattwiller (Wattwiller, 68)",0,0,0,0,0,0,0,0,"0,00075","3,5","< 0,001","1,1","0,11","0,011",0,0,0
76060,eaux,,"Eau minérale Perrier (Vergèse, 30)",0,0,0,0,0,0,0,0,"0,0024",16,"< 0,001","0,42","< 0,1","0,011",0,0,0
76061,eaux,,"Eau minérale Badoit (St-Galmier, 42)",0,0,0,0,0,0,0,0,"0,0089","15,3","< 0,001",8,"1,1","< 0,01",0,0,0
76062,eaux,,Eau minérale Avra (Grèce),0,0,0,0,0,0,0,0,"0,0013","11,1",0,1,"0,07",traces,0,0,0
76063,eaux,,Eau minérale Beckerich (Luxembourg),0,0,0,0,0,0,0,0,"0,00075","9,7",0,"0,5","0,06",traces,0,0,0
76064,eaux,,Eau minérale Caramulo (Portugal),0,0,0,0,0,0,0,0,"0,00083","0,2",0,0,0,traces,0,0,0
76065,eaux,,Eau minérale Chaudfontaine (Belgique),0,0,0,0,0,0,0,0,"0,0058","6,5",0,"1,8","0,25",traces,0,0,0
76066,eaux,,Eau minérale Christinen Brunnen (Allemagne),0,0,0,0,0,0,0,0,"0,047","3,3",0,0,0,traces,0,0,0
